,Data
96,"✅ Trip Verified |   First I was separated from my wife of 35 years and then despite my plea of a stiff shoulder I was given a window seat in all my 42 years of flying. Emirates seem to treat its tour group passengers as 2nd class passengers without any rights. My wife and I flew to Spain and Portugal from Singapore on a packaged tour with a travel group. On our return flights first from Madrid to Dubai on EK142 on 9 Oct 2023 and from Dubai to Singapore on EK 354 on 10 Oct 2023, my wife and I were placed on window seats on the opposite sides of the aircraft. When I enquired at the check in counter for an aisle seat for the 2 flights as I am a tall bloke with a stiff shoulder (which has been affecting me for the past 5 years), the staff gave me an aisle seat further back and my wife in a window seat 6 rows ahead. She said she tried but could not see the connecting flight seating plan from Dubai to Singapore and advised me to approach the boarding gate in Dubai for help. When we reached Dubai, the tour manager, my wife and I, another another couple who had been in opposite ends of the aircraft made a beeline for the connecting help desk close to B18 boarding gate. The guard refused to let us into the queue even though there was no one queuing and the 2 counter staff were helping a couple of the passengers at the counter. He told us to use the self-help kiosk computer even though we said we needed help with changing the seats. The computer did not do the latter and directed back to the counter. The guard was still reluctant and finally allowed my wife and I in the queue. However, our tour manager and the couple were kept outside the line even though they had legitimate business to speak to someone at the counter. There was a couple talking to a group of the staff outside the counter near the queue and the man was gesticulating wildly in a heated discussion with the staff. Eventually one of the staff involved in the 'conversation' told the guard to admit all of us and 'royally allowed' us to talk to him behind the counter. He told us in no uncertain terms that we were given our seats as 'non-paying' passengers and it was tough luck that we had to be separated. Our tour manager protested that the tour passenger list with familial/partnering connections was given to the airline beforehand but he said we were given a block of seats from rows 81 to 83 and he could not help in any way. My question to the airline is this: if the passenger list has been provided with the different familial/partnering groupings could it not be more accommodating and doing a slipshod job of seating willy nilly without regard for the families and couples travelling together. What happens if there are families with young children? Furthermore if the airline has given a block of seats (say rows 61 to 63 or 81 to 83 and not all window seats or not all middle seats) in advance why can't it have the good sense to pass them on the tour manager beforehand so the tour manager can help to allocate the seats according to the passengers' preference and needs? Even in times of profit squeeze when corporations try to extract every cent from its passengers, how much money can you make to justify discriminating and alienating your passengers just because the 25 of them are travelling as part of a package tour?"
97,"✅ Trip Verified |   I wish to express my dissatisfaction with my recent experience on Emirates Flight EK2185, scheduled for August 6th, 2023, from Dubai to Catania. The flight was canceled less than 24 hours in advance, which severely impacted my long-haul trip. This trip was booked through the Emirates website and was disrupted just hours before its departure due to the cited 'unforeseen circumstances,' namely a fire at Catania Airport, which had occurred three weeks prior. Being an aware passenger, I was cognizant of the previous flight cancellations to Catania and the airport's incapacity to handle extra-Schengen flights. Consequently, I had been diligently monitoring the situation, investing significant time and financial resources from a remote location in South Africa to stay updated and explore alternative travel options in case of an eventual cancellation. My distressing experience began when I found myself caught in a bureaucratic game of ping-pong between Emirates and Flydubai, the airline operating the flight. Both carriers appeared to evade responsibility and failed to offer me any practical alternative plans. The cancellation notification reached me while I was en route to the airport, necessitating an unscheduled stop in an area with phone reception to contact the Emirates call center, as per Flydubai's app recommendation. To my dismay, I spent over 30 minutes on the phone only to discover that Emirates was not presenting any viable options for reaching my final destination. Furthermore, their communication regarding alternative flights from Dubai to Italy was initially unclear—mentioning Rome or Milan—and later, limited to Naples, with no apparent connection to Catania. It was only after a protracted discussion that the call-center operator finally intervened, reconfiguring my entire reservation to a flight bound for Milan, just an hour before my scheduled check-in at Skukuza. This change, which was seemingly necessitated by Emirates' arcane policies, left me in Dubai without compensation for the additional time spent there. I was accommodated in a shared room with no meals, a circumstance that I managed to secure solely because my partner already had a reservation for a Dubai Connect service. Following the call-center operator's instructions, I had to personally book a new flight from Milan to Catania, incurring additional expenses. The overwhelming stress and uncertainty surrounding this ordeal marred a significant portion of my holiday experience. I requested that Emirates recognized the hardships I endured during this journey, including the extra costs incurred due to the days of delay and the missed medical appointment. However, they just said they could do nothing."
98,"Not Verified |  Terrible service, very slow check in. Not trained stewards. I was told that for my toddler the seatbelt was not compulsory (I am not joking). Please choose another airline."
99,"✅ Trip Verified | I was checking in at Counter F1 at KLIA T1, served by your ground staff, Ms Farah around 8.35am to get on EK345 from KL to Dubai. She went ahead to check in my luggage bag and assigned me my seat, 38E. I was shocked and told her I've got a confirmation email that seat 32A was allocated to me (yes, I booked for it in advance using Trip.com). She said it's a 3rd party confirmation and I was supposed to online check in. Gosh... that was ridiculous! You mean an email confirmation is not a confirmation? Fine. I told her I do not mind an aisle seat instead but do not put me in the middle. She made a call and ended up telling me that it cannot be done. Emirates Emirates...you are a World Class Airline but the service you rendered to me on the ground says nothing of that. You ought to do better and shame on you for hiring such an incompetent employee."
100,"✅ Trip Verified | I had a poor experience on this flight. I have been using Emirates' services for over 20 years, being a Blue member and, then, a Silver member, up until the time of covid. I have had no reason to complain, previously about Emirates’ service. Sitting in seat 30F, I had ordered vegetarian food, and received a snack soon after take-off, along with a sealed cup of water. Subsequently, meals for other passengers were brought round and people were offered drinks, but I was offered nothing, and the steward moved on too quickly for me to request a drink. At the next opportunity, when a steward passed by, I requested a drink, but was advised to wait until lunch was served (a very poor response, I felt). I reiterated: I would like a drink as soon as possible (as I was thirsty). The person in seat 30G was asleep and I could not exit the seat with causing a disturbance. A drink was subsequently provided (but over 15 minutes later). However, the table in 30F is/was not secure and the drink slid off, spilled over me and the person in 30G next to me. The people sitting either side of me were more helpful than the steward in trying to clear up the mess. Later on, lunch did arrive, but it was 2 hours after I had first requested a drink (so, my request for a drink had been vindicated). When food trays were later collected, mine was overlooked, the steward passed me by, and my food tray was left for over half an hour. When a steward passed by, I asked that the tray be removed and could not understand why I was being treated in what seemed a negligent manner. At this point, I was beginning to become very fed up. A supervisor later came round and asked if I was alright. I was fine (albeit tired), but frustrated at having been ignored and overlooked. The supervisor was firm, but unapologetic, and asked me if I needed anything. I did not need anything, and she left me without further comment, her enquiry appearing pointless to me, as it solved nothing. Following this experience, I am unlikely to use Emirates again, which has left me thoroughly disillusioned with the company."
101,"Not Verified |  On September 17, I took an Emirates flight with my family. The flight attendants were wonderful except for their aggressive cabin manager. There is absolutely no maturity. Leaving aside his lack of professionalism in leading his team. He was yelling at his team, and we heard him. That doesn't make for a pleasant workplace. "
102,✅ Trip Verified |  What a nightmare. Taken back to the stand and kept on the plane for 2 hours in sweltering heat with little refreshment and terrible communication from the pilot and staff on board about the fault and when it will be fixed. Absolutely pathetic customer service - it’s like torture on the plane. Stay away from this airline - they do not look after you when there is a problem.
103,"✅ Trip Verified | I made a single reservation with Emirates to fly from Milan to Botswana, via Dubai and Johannesburg. The two flights to and from Botswana were operated by other airlines. On my way to Botswana I made a transit in Dubai and a transit in Johannesburg. On my way back things went bad. We arrived at the airport in Botswana (Maun) and the flight we booked on the Emirates website, was not present. We asked and found out that it had been replaced by another flight, operated by a different airline, at a different time. We checked in for this new flight and found out that no transit was possible in Johannesburg. Therefore we had to go through immigration, retrieve our luggage, queue again for the check in, pass security and passport control to get on our next flight to Dubai. To me it's unbelievable that Emirates did not care to inform us about the flight change and the fact that we could not make a normal transit, like on the first part of our journey. It's a pity because the flight experience has been good, with very nice crew and operating on time."
104,"✅ Trip Verified |  The return journey from HKG to BKK reaffirmed the low quality of the airline that I experienced on the outward journey. Added to that however, was the 50 minutes to queue in the Online Check-in, having arrived at the airport more than the recommended 3 hours before flight departure. This is presumably as a result of only 2 check-in counters open for Online check-in. 2 were available for those who had not checked in, and these seemed to move more quickly. Once through, and with enough time to grab a bite at the airport, the greeting on board was initially friendly, but then the surly attitude of any staff with whom I came into any brief contact, (one, who removed my light hand luggage with laptop, to accommodate a passenger at the Emergency Exit, who's steamer trunk ""hand luggage"" could not fit into the overhead luggage bin above his seat, (which Emirates call ""hat rack""; if only). I had heard Emirates were the best on offer in this post pandemic era, but if that is the case, the standard must be extremely low. So low, a low-cost airline would make more sense. As I had eaten before departure, I was able to avoid the food service, and had brought a bottle of water with me, so I did not have to endure the chaotic and illogical F&B service, with its dire offerings."
105,"✅ Trip Verified | In order to mitigate the inordinately inflated prices of Business Class fares, I chose Economy for the first time. Not having much experience of this, I read reviews that Emirates were the best choice for this route BKK-HKG over the usual well established carrier for this route. The service was perfunctory at best. My expectations were low regarding most aspects of the flight, and I was not disappointed, but I had read that service was good quality with pleasant staff. I had zero example of this. Food was delivered haphazardly, and as I had not eaten by the time of take off at 14.05, I ate what was on offer. My low expectations were not disappointed. Anyway, my small experiment with Emirates and Economy are over."
106,"Not Verified |  I'll avoid Emirates anytime I find another option, pity, after being frequent flyer for 10 years. Service quality fell off a cliff, proportionally inverse to their skyrocketed prices. Now, imagine imposing a 7KG limit for a trolley and a bag, on a 2k$ flight. It's beyond silly. A laptop and an empty trolley are basically it. It's insane especially considering that this is not a low cost airline, and they have massive profit margins."
107,"Not Verified |  This was the second time I travelled by Emirates. The first one was not so fruitful either but the second trip was just ridiculously disappointing and bad. The flight attendants were rude. The service was extremely bad, seats were smelling of urine and the tv remote was broken. The toilets were filthy and disgusting. When I asked for some wine, one of the crew turns around and tells me ""you will be lucky if I can get you some water""!"
108,✅ Trip Verified |  I was very very disappointed by the service of the cabin crew. I flew to Mauritius on 21.7.23 with my family and flew back to Glasgow on 18. 08.23. Food service were very poor. The cabin crews took all their times to serve the foods. Some passengers are served first then after hours the rest of the passengers are served. They also served the beverages or the drinks late after the meals. Me and families never got a drink or any beverage at all. I phoned the crews so many times but they never attended us. When I complained to the crew she apologised and promised to bring us some drinks but she never appeared. On our way from Mauritius to dubai in flight EK 704 we got seats which were close to the toilet the floor was wet because of leak. Inform the crew and they took ages to bring a blanket to cover the floor. During the flights the cabin crews supposed to served drinks water or juice but they didn't. They look disinterested to provide a good service. They pulled the curtain so that you can't see them and they themselves eating and drinking. A lots have changed. I wonder where the drinks wines and whiskey are going which are supposed to serve to the passengers. Worst service. I already binned my boarding pass but I remembered seating in zone E 61E.
109,"✅ Trip Verified | I am writing to express my disappointment with Emirates Flight EK0243. Despite meticulously tagging our luggage, we were charged an additional $110 by Emirates for inter-baggage transfer. Regrettably, our baggage has been stranded in Dubai for five days. This situation has left us without essentials and with a complete lack of communication or assistance from Emirates. This experience has shaken our trust in the airline's service quality."
110,"✅ Trip Verified | It was a few years since I had flown Emirates but albeit in Economy, they provided I believed a better service than most other carriers. Well - in my view, lots has changed with Emirates in the last few years and I believe Quality has become Quantity unless possibly if you are flying Premium or Business. Despite being very polite, ground staff appeared disinterested in assisting for an upgrade both in Durban & Dubai and even their call centre. It was at least 2 hours into the first flight before we had either a drink or food and in 47B by then there was no more food choice. Compared to the other carrier I took south-bound to South Africa, screen on our Emirates B777 to Dubai was old and headphones on both flights uncomfortable. Transfer in Dubai required you are accustomed to your 10,000 steps a day. Sad but per two flights taken, it didn't appear reflective of all the publicity one sees. At least per my own experience on these two flights. Only the A380 was nice and quiet!"
111,"✅ Trip Verified |  Flew on Emirates after several years. Impressive economy cabin with very comfortable seats and a little extra leg room. The airline’s warm ambience is soothing. The cabin was very clean and well maintained. Boarding was well managed at the gate. The economy meal options were superb, extra snacks included with the meal were superb. Entertainment excellent with offerings in multiple languages. The staff were very professional.  Perhaps, the attendant serving my zone could have better assisted the passengers with stowing away the carry-ons instead of standing idle and passively greeting. Overall, very evident why Emirates fairs very well in the international flight scene."
112,"Not Verified |  The trip over was fine. We brought carry-on luggage and had no issues. The plane is nice, the associates are friendly enough, and the food was good. The trip back with them has been awful. They forced us to check our luggage saying no more than 100mls of liquid allowed. We were fine with that but how do they have duty free liquor if they don't allow you to check more than 100 MLS of liquid?? Once in Dubai we went through 3 security checks. I have traveled many places before, including Egypt and Israel and I have never been though so many security checks. The one right before you board made me throw out the water I just bought at the airport. Again, thank god I didn't buy any liquor at duty free. I miss delta."
113,"✅ Trip Verified |  I had a First Class Ticket booked with Emirates back in December 2019. I took the outbound flight but the inbound flight was canceled due to Covid-19. Emirates offered a voucher to change my flight for free. However the covid situation was taking too long, I wasn't planning to take any flight before the voucher expired. And then, I requested a refund in July 2023 and got emailed back from Emirates. They confirmed that the refund had been approved to Amex (my original payment card). I contacted Amex 10 working days later, and was told that Amex not received the refund. Amex had to fill a form to raise the case for investigation but they need details on ""the refund amount"". So I contacted Emirates to confirm whether they had refund the ticket or not, and how much was the amount refunded. Emirates representative advised that the other representative was chasing the refund and she refused to tell me any more details, nor give me information on the amount to be refund. I asked to be transfer to the relevant department. She agreed to do so and then hung up the call."
114,"Not Verified |  Disappointment with the experience I had during my recent flights with Emirates.  I had a medical condition and needed water to take my medication. Despite politely requesting a glass of water, I was made to wait for an unusually long time before my request was attended to. Furthermore, both my flights to Delhi and back to Dubai experienced significant delays. The delay on my outbound flight caused inconvenience to my schedule and disrupted my plans upon arrival. Similarly, on my return flight, the extended delay left me feeling frustrated and exhausted. Upon my return to Dubai, the baggage retrieval process took an exorbitant amount of time. I waited for more than an hour to receive my baggage. The recent series of unfortunate incidents has left me disheartened and concerned about the overall quality of service provided. I sincerely hope that Emirates takes these matters seriously and addresses the issues promptly."
115,✅ Trip Verified | Emirates was a great airline for frequent fliers but has gone downhill the past few years. Many of the perks of being a gold member are gone and in general the staff attitude and competency is very low in comparison. As of July 2023 Emirates gold members cannot use the business class check in which was one of the main advantages leaving DXB.
116,"✅ Trip Verified |  I selected a flight operated by Emirates with a long layover. I was aware that Emirates offers a free layover hotel night if the layover is longer than 8 hours. So, I selected it and paid for it. I qualified for all the criteria including the fact that I booked via Qantas as per the Terms and Conditions stipulated in their website, see here: https://www.emirates.com/english/before-you-fly/dubai-international-airport/dubai-connect/terms-and-conditions/ As stated in the T&C: ""Both your inbound and outbound flights to and from Dubai must be an Emirates flight (marketed by Qantas or Emirates) or a Qantas flight (marketed by Emirates or Qantas)."" But now that I want to book the free hotel night, I got the feedback: ""On reading the last line on the terms and conditions, you see the statement says ""The ticket must be issued on an Emirates (176) document."" This is the base of the reason for denying the service. How unfair and confusing is that for customers?  Super disappointed and I will not book with them in the future."
117,"✅ Trip Verified |  The issues I encountered include a significant problem with their cancellation policy, lack of responsiveness from their customer service team, concerning safety practices, refusal to reimburse for damaged luggage, an extensive delay during the return flight, and a stark contrast in service quality between Economy and Business class. Regarding the cancellation policy, I received misleading information from three representatives, who assured me that I would receive a full refund if I canceled within 24 hours. However, they failed to mention the crucial condition that this only applied when the flight was at least 7 days after the initial booking. As a result, I tried to cancel within the 24-hour window but could only reschedule. This cost me a $500 loss vs. the option of cancelling and booking a new flight for the following day. Despite Emirates acknowledging in writing their mistake, they repeatedly refused to provide a price match or refund, and eventually even stopped replying to my follow up messages on the open complain. The lack of responsiveness from Emirates compounded my frustration. Numerous follow-up messages went unanswered, showing a lack of interest in resolving the issues I faced.  During the flight, I was alarmed by a safety practice where all blankets were collected and piled in front of the emergency exits.  Emirates also declined to reimburse me for one of two damaged pieces of luggage, despite the damage occurring during their handling.  Furthermore, the return flight experienced a significant delay for a missing document, resulting in passengers being seated on the plane for over two hours, including boarding time. Despite the delay being just a few minutes short of two hours, the lack of updates, assistance, and provisions such as free Wi-Fi or refreshments left passengers feeling inconvenienced and neglected. The service quality and care for Economy class travelers fall short of expectations. "
118,✅ Trip Verified | First the good: flight not full so seat space was more than adequate and very comfortable. Entertainment was excellent as always on Emirates. Now the not so good: meal was barely passable and did not come with a drink which as a diabetic isn't good. Cabin crew were really surly and did not speak coherent English.
119,"✅ Trip Verified |  What a difference a crew makes. Flight from Dubai was staffed by a really engaging crew for whom nothing was too much trouble. Seat was comfortable but you can tell this was one of the older A380 as part were looking a bit worse for wear. Food on this flight was among some of the best I have ever had. Lounge was busy but to be fair we sat close to the gate and didn’t venture in. Boarding was separate to economy however we still had to wait 10 min even though when we tried it was already 10 min past the boarding time. Got the two return legs to go, let’s see if the consistency improves."
120,"✅ Trip Verified |  The on-board internet simply does not work. If you complain, the supplier for Emirates, 'Sita for Aircraft' simply refuse to acknowledge that they failed to provide a service and issue a refund. It appears from multiple reviews that this happens often. Emirates themselves, apart from the non-existent internet and poor third party after-sales experience were pretty good, ample leg room, friendly staff, good selection of movies but poor food choice - fish or vegetables only. The check-in was also poor. I followed the check in signs for economy seats at Dubai airport T3, waited for around 20-30 mins before being told to check in at desk 5 (flights to USA) - i wasn't flying to the USA, how am i supposed to know to follow that sign? Very poor understanding of the customer journey."
121,"✅ Trip Verified |  I'm writing this review so others won't go through what went through. This airline has no accountability whatsoever. The day of my flight I was denied check in. The reason was that I had less than 6 month validity on my passport which was not required for my destination. The Emirates agent at the check-in booth told me he wouldn't let me on the flight and then offered my seat to a standby client. Because of this I missed my flight, I had to renew my passeport in less than 24h and lost 2 days stay at the hotel. I had to pay 300$+ ticket as penalty to board on the next flight not to mention the psychological distress I was put under (I have depression/anxiety disorder). I was travelling with a group and someone in my group has checked in with no problem with passport validity less than 6 months. When I contacted Emirates for refund they said the agent didn't declare the incident and put me as no show on the system although I was there in time with the group. I was told by Emirates that without the name of the agent they can do nothing about it. In short Emirates agents can freely deny you your flight manipulate the system and sell your seat to another person and you can do nothing about it."
122,"✅ Trip Verified | Very friendly check in staff, same goes for the lounge staff, however there was only one on the front desk, and was tied up selling with upgrades or lounge access which meant that we had a 10 min wait before we got access. Lounge itself was nice and had just been refurbished, how ever food selection was average with several things having run out and not replaced. Flight it’s self was good but due to midnight departure staff were just going through the motions. The beef tenderloin has to be the driest toughest piece of meat to have ever been served on an airplane. Overall I have had better experiences on other carriers. Emirates seems to suffer from hit and miss crew. Plane landed on time and for the price the service was not unreasonable. Still a bit poor that you don’t even get a limited amount of wifi in business class."
123,"✅ Trip Verified |  Did a single booking for my family 3 months prior. Still they split the seats for a long haul 16 hour flight from Dubai to Los Angeles. Instead of giving four seat configuration. Never happened before. The folks at gate terminals very unsupportive and not even willing to listen to you. One word is what they say full flight. Would never ever fly back on this. Yes am skywards members as well, but that doesn't help you as well."
124,"✅ Trip Verified |  I decided to fly Emirates again after having a very unfortunate first experience with them a few years ago. Well what I can tell now from 4 flights with them is that they are a hit or miss airline. Some crew members will be friendly and professional others on the same flight will be rude and careless. What others have mentioned on these reviews is true, they will run out of meals option easily and you will have to settle with leftovers if you are seated at the rear. I have noticed the aircrafts are becoming very overused, some had broken features and a funny smell. The food is very basic if compared to other premium airlines. I would say Emirates is still a viable option if the price is right and they offer a lot of connections, but they are not my first choice airlines if other middle eastern carriers are in the game."
125,"✅ Trip Verified | My family experienced very poor service with Emirates, the issue was with food services, on a 16 hour flight, we get no meal selection, just have to satisfy with leftovers, we were sitting in row 86, 1st time flight attendant says they only have vegetarian meals, ran out of non-vegetarian, the same thing happens at the second meal, also on second time no beverages were served, I had call a flight attendant for beverage service. Not enough time was given to eat our food. May be Emirates would ask customers on their meal preference and stock up accordingly, no beverage services offered at all during the entire flight, we would have to walk up to the service station and ask for water/juice. Hope to see improved services on future Emirates flights."
126,✅ Trip Verified |  This review is to appreciate the service given by Emirates flying cabin crew Ms Maria during my flight EK648 on 24-06-2023 from DXB to CMB. Her service was exceeding expectation and was supportive at every occasion. 
127,"✅ Trip Verified |  I'm motivated to write this critical review after multiple phone-hours with customer service agents with Emirates in the hope that others would benefit (and that Emirates would listen!). We had booked a return flight from/to STL-COK via YYZ and DXB. The first flight from STL to YYZ was by its code share partner Air Canada. Unfortunately, just a couple weeks before our flight, Air Canada changed the flight time such that it was not possible to catch the flight from YYZ to DXB. We reached out to Emirates, our primary booking partner, to rebook and were provided a rerouting option through ORD (Chicago) for an additional $3300 for 3 tickets. Annoyed by this suggestion, we requested to fly Air Canada flight the day before, which was turned down because of unavailability of economy class tickets. Because of lack of viable options, we decided to drop the flight from STL-YYZ but retain the flights from YYZ-DXB and DXB-COK, with the idea of booking our own flights from STL-YYZ. We booked this flight for the day before, so we also had to book overnight stay in YYZ. When we filed a travel claim which needed a certificate of flight delay, Emirates asked me to reach out to Air Canada. Unfortunately, Air Canada had none of our names in their system and it was impossible to reach their customer service for further assistance. In summary, we have spent almost $2800 (flight tickets + overnight stay) for Air Canada/Emirates' incompetence and are unable to get a 'flight delayed' certificate to process our legitimate claim. Please beware when booking flights through Emirates because it takes absolutely NO responsibility for their code share partners' mistakes. All I received were platitudes such as, 'we understand', 'that is awful', etc. over the phone but with no real help to process our claim. Lesson learned and no more Emirates for us ever!"
128,"✅ Trip Verified |  Excellent service. I flew Dubai- B'Ham- Dubai in economy class. Emirates has common counters where you can check in your luggage. Initially, I was skeptical (particularly on the DXB-BHX route) but Emirates made no mistakes. This is quite convenient as you can check in quickly and go to the lounge. The flight departed on time, the crew had a smile and were quite professional. Food was sufficient in quantity and quite good with metal cutlery in economy class. There was another snack service followed by juices/hot drinks 1.5 hours before landing. The seating is quite good and has a seat [pitch of 32""). B777s in use by Emirates are getting old and you can see the signs. Their ICE system was excellent. I am not sure I would like the Business class seats here as they weren't lie-flat but I was flying economy. Families with kids were well taken care of with flight attendants distributing amenities and offering to take and share instant pictures using Polaroid cameras. The in-flight wifi was free for text messaging using WhatsApp, even in economy if you have Skywards membership. My only complaint during the trip is that the plane was parked far off and required considerable walking at Terminal 3 in Dubai to reach immigration (which was a breeze). Overall, it was a great experience but flights are quite expensive compared to the competition."
129,"✅ Trip Verified | What a disappointment. Emirates is lauded as having one of the best inflight experiences in the world. They obviously spend a lot of money marketing the experience as such. The problem with this is that expectations are high. The hard product is good, all be it a little tatty. Service and food quality is poor. Options are limited and there is no dining in demand. It’s the first time I’ve flown business and had my meal served on a tray. Never addressed or welcomed by name aside from when my boarding card was presented on entering the aircraft. Crew were polite when you got their attention, but most of the time they were avoiding eye contact when racing through the cabin. I had just come off a Virgin Atlantic upper class flight and while their upper class seats aren’t great, the service blows emirates out of the water. Fly better? Do better!!"
130,"Not Verified |  I didn't succeed to take this plane. I reserved two tickets 3 months ago and just 5 days before the flight, I found that the reservation was cancelled automatically because my bank refused the payment at the time of buying. So during these 3 months I didn't receive any email or message that notify me about this. The only email that I got it says "" Reservation confirmed"". I was really shocked when they told me that I can't find my reservation because it was already cancelled by the system automatically without any notification. After all, they kept blaming me why I didn't check my bank account every day. I have to pay extra 400 euros to book another flight in order to get home in time. Really sad, angry and helpless."
131,"✅ Trip Verified | Emirates is an airline that tries to maximize the amount of money that it can squeeze out of customers, whilst providing the minimum possible service. I find them far less flexible than other airlines, will apply every penalty they can regardless of circumstance, and will not let customers know of the complimentary services they provide so you end up paying extra. The counter staff are generally unhelpful and impatient, and the cabin crew are less professional and appear less trained than other airlines. Definitely would NOT recommend flying with Emirates to anyone. I will certainly never fly with them again."
132,"✅ Trip Verified |  Every encounter with airline representatives was pleasant and professional. Thank you to Ahmed, who checked me in very early this morning (1:00 am, June 6th), and made sure I was happy with the seating. Also to Zeeshan, who helped me find my way to the lounge, with all its wonderful amenities.  Much gratitude to the female Captain, who flew us smoothly from Dubai to JFK and kept us all well informed about a few delays before takeoff. "
133,"✅ Trip Verified |  Birmingham to Dubai, Boeing 777. Hideous aircraft. Noisy and really uncomfortable. However, very good service and delicious food. Emirates are excelling with their food, compared to last year. Dubai to Auckland A380 as good as you will get in economy. Plenty of space, and so quiet in this magnificent aircraft. Service a wee bit patchy. Had a few young, I would say, new staff. However they tried very hard, and everyone has to start somewhere."
134,"✅ Trip Verified |  I had the worst experience of my lifetime flying with Emirates. It all started from Thiruvananthapuram where our travel began, food was just pathetic and the service is just awful. Let alone the seats are not even comfortable with hardly any legroom. Sitting on the seat for less than an hour and you feel your bones crushing on the frame of the seat. The flight attendants seem like overly busy even if they were to walk past you and you ask them for a glass of water. The next leg was the long haul. Both my wife and I were just exhausted with the service and the flight attendants wouldn't even get a band aid after I cut myself from hitting my feet on the fasteners of the seat.  We waited for almost an hr after boarding from Dubai to take off and I ended up cutting myself while being seated and I showed my feet to the flight attendant, and she didn't even care to get back to me until my wife had to address it 48 minutes later.  The seats are as poor as the first leg. How do you expect customers to sit in these seats for such long-haul flights. No legroom and the people in front when they recline the seat your stuck with the tray on your diaphragm. I seriously dreaded the flight and the attendants as well. There was a lot of overhead Cabin baggage space where she could open and look but instead just chose to stand where she was and asked me if she could move my bag. Then when another passenger had to get his bag up, she asks my wife if the bag was hers and it was the bag of the passenger behind us. She was like it's my bag and leave it there and then the flight attendant got back to us and asked my wife to move her bag and I said no. Why don't you move the other bag instead. She didn't even have the courtesy to look for other bins if it wasn't full. But just stood in her vicinity to put the bag in and get the job done. I don't understand why do these kind of staff even work. Going to TRV via Dubai the men flight attendants were just so rude that they act like they are doing you a favor by getting you a glass of water. They asked if there's anything else like it was a big, huge task for them to get a glass of water. Juice/water/fruits ??"
135,"✅ Trip Verified |  
Lisbon to Dubai in one of Emirates B777. The process at the airport was fairly efficient, considering that Lisbon airport can be very messy. The flight departed on time. Cabin is wide and very populated, but acceptably comfortable. The Inflight Entertainment is very good, the meals, although not as good as a few years ago, are still above the average for Economy class. The cabin crew is very nice and welcoming."
136,"✅ Trip Verified |  Had the chance to travel in first class but this time with Emirates it was a complete different experience. The lounges, the suites, staff, food, shower on the A380, the limousine service, dedicated Lounge in Dubai, overpassed all my expectations. "
137,"✅ Trip Verified |  I had the misfortune of booking a flight on Emirates for my daughter to fly as an unaccompanied minor. All flights were expensive so I used an app to find some cheaper flights and booked on line. I must mention that I checked with their terms and conditions to make sure I could call and change the flight to an unaccompanied minor. Firstly I never received the itinerary so I called Emirates to get this sent. Secondly I could barely understand the operator as he mumbled and had a strong accent. Once I had the itinerary I then told them I needed the unaccompanied minor added. Because I had booked flights operated by Emirates but run by Qantas, I needed to call Qantas to make the change. So I called Qantas, they had no record of the flights, then told me I need to change through the airline I booked. I called Emirates again and explained, they then said I assure you it needs to be done by Qantas. I went back and forth from airline to airline multiple times until Emirates then said there is no way I can change to unaccompanied minor and Qantas would not change it either, I finally had enough and asked to speak to someone who knew what they were doing. I spoke to a supervisor who was not rude or anything but stated I’d need to cancel the flight, take the hit and rebook via phone. I don’t think so, referring to their website that says booking electronically then adding a service is perfectly acceptable. So now I have return tickets in my daughters name that we can’t use. This is bordering on criminal if not unethical, Airlines are supposed to be helpful not members of the “Wit” family"
138,✅ Trip Verified |  I have travelled a lot with Emirates but this time there was a very kind crew Gabriel Italian - Ukrainian with a very natural smiling radiating light. His attitude and love for his work was manifested in his kindness.
139,✅ Trip Verified |  Fantastic service from hostess Malek from Tunisia. Friendly and very efficient. Can see the passion for her job and love for Emirates. Lovely young lady with a great personality. Thank you.
140,"✅ Trip Verified |  This must be the worst food I have ever tasted on an airline trip. Apart from the protein section of the main meal, the rest were inedible! The rolls were stale, rock hard so they were either old stock from previous meals or your caterer is taking advantage. Its carbs and carbs and carbs. Can you not include something fresh like fruit or fruit salad. Really bad Emirates, I was shocked! My earphones were also faulty, I informed the hostess and she said she will tend to it in a while but she never did."
